        Nckt,       Ntube,        Nmod,      tRi(C),      tRo(C),    pRi(kPa),    pRo(kPa),  hRi(kJ/kg),  hRo(kJ/kg),         xRi,         xRo,      tAi(C),      tAo(C),        rhAi,        rhAo,  hci(W/m2K),          EF,  hco(W/m2K),   mu(uPa-s),     k(W/mK),  cp(kJ/kgK),  rho(kg/m3),       ReVap,       ReLiq,     Qmod(W),  MassLiq(g),  MassVap(g),  MassTot(g),  mdot(kg/h),
  1,  1,  1,    60.536,    27.589,  1121.950,  1117.706,   441.235,   413.709,     1.000,     1.000,    21.833,    26.760,     0.696,     0.518,   325.957,     1.000,    68.234,    13.561,     0.012,     0.850,    43.600, 74155.484,     0.000,   131.282,     0.000,     2.790,     2.790,    17.170,
  1,  1,  2,    27.589,    26.533,  1117.706,  1087.974,   413.709,   236.949,     1.000,     0.026,    21.833,    26.153,     0.696,     0.537, 11490.105,     6.633,    68.235,     6.409,     0.006,     0.445,   383.999, 37971.883,  2827.373,   840.895,    80.849,    16.855,    97.705,    17.170,
  1,  1,  3,    26.533,    21.873,  1087.974,  1084.443,   236.949,   226.384,     0.026,     0.000,    21.833,    21.992,     0.696,     0.690,   402.552,     1.000,    68.235,    86.040,     0.043,     0.621,   962.032,     0.000,  5818.030,    26.735,   358.499,     3.123,   361.622,    17.170,
  1,  1,  4,    21.873,    21.833,  1084.443,  1081.449,   226.384,   226.335,     0.000,     0.000,    21.833,    21.835,     0.696,     0.696,   402.420,     1.000,    68.235,   172.115,     0.085,     1.242,  1203.570,     0.000,  5810.754,     0.236,   368.316,     0.000,   368.316,    17.170,
  1,  1,  5,    21.833,    21.833,  1081.449,  1079.020,   226.335,   226.335,     0.000,     0.000,    21.833,    21.833,     0.696,     0.696,   402.310,     1.000,    68.235,   172.147,     0.085,     1.242,  1203.633,     0.000,  5804.721,     0.001,   298.979,     0.000,   298.979,    17.170,
  1,  1,  6,    21.833,    21.833,  1079.020,  1077.155,   226.335,   226.335,     0.000,     0.000,    21.833,    21.833,     0.696,     0.696,   402.224,     1.000,    68.235,   172.141,     0.085,     1.242,  1203.621,     0.000,  5799.952,     0.000,   229.579,     0.000,   229.579,    17.170,
  1,  1,  7,    21.833,    21.833,  1077.155,  1075.855,   226.335,   226.335,     0.000,     0.000,    21.833,    21.833,     0.696,     0.696,   402.160,     1.000,    68.235,   172.136,     0.085,     1.242,  1203.612,     0.000,  5796.442,     0.000,   160.131,     0.000,   160.131,    17.170,
  1,  1,  8,    21.833,    21.833,  1075.855,  1075.119,   226.335,   226.335,     0.000,     0.000,    21.833,    21.833,     0.696,     0.696,   402.119,     1.000,    68.235,   172.133,     0.085,     1.242,  1203.606,     0.000,  5794.186,     0.000,    90.646,     0.000,    90.646,    17.170,
  1,  1,  9,    21.833,    21.833,  1075.119,  1074.947,   226.335,   226.335,     0.000,     0.000,    21.833,    21.833,     0.696,     0.696,   402.101,     1.000,    68.235,   172.131,     0.085,     1.242,  1203.603,     0.000,  5793.181,     0.000,    21.140,     0.000,    21.140,    17.170,
  1,  1, 10,    60.536,    21.833,  1121.950,  1074.947,   441.235,   226.335,     1.000,     0.000,    21.833,    21.833,     0.696,     0.696,     0.000,     0.000,     0.000,    93.217,     0.049,     1.025,   621.685,     0.000,     0.000,     0.000,     0.000,     0.051,     0.051,    17.170,
  1,  2,  1,    43.113,    43.098,  1653.669,  1653.092,   385.886,   375.538,     0.811,     0.747,    22.498,    33.128,     0.669,     0.360, 12794.129,     6.541,    66.936,     0.000,     0.000,     0.000,    90.619, 58750.289,  1546.235,    53.794,     0.914,     0.355,     1.268,    17.170,
  1,  2,  2,    43.098,    43.084,  1653.092,  1652.549,   375.538,   365.266,     0.747,     0.684,    22.610,    33.161,     0.665,     0.359, 12504.496,     6.541,    66.938,     0.000,     0.000,     0.000,    97.909, 53982.828,  2033.447,    53.398,     1.025,     0.348,     1.372,    17.170,
  1,  2,  3,    43.084,    43.072,  1652.549,  1652.048,   365.266,   355.087,     0.684,     0.622,    22.740,    33.195,     0.660,     0.359, 12042.026,     6.541,    66.941,     0.000,     0.000,     0.000,   106.408, 49254.793,  2516.126,    52.912,     1.137,     0.340,     1.477,    17.170,
  1,  2,  4,    43.072,    43.060,  1652.048,  1651.594,   355.087,   345.019,     0.622,     0.560,    22.890,    33.232,     0.654,     0.358, 11462.942,     6.541,    66.945,     0.000,     0.000,     0.000,   116.423, 44573.793,  2993.732,    52.338,     1.255,     0.333,     1.587,    17.170,
  1,  2,  5,    43.060,    43.050,  1651.594,  1651.188,   345.019,   335.080,     0.560,     0.499,    23.064,    33.273,     0.648,     0.358, 10795.778,     6.541,    66.949,     0.000,     0.000,     0.000,   128.376, 39947.883,  3465.537,    51.667,     1.380,     0.324,     1.705,    17.170,
