        Nckt,       Ntube,        Nmod,      tRi(C),      tRo(C),    pRi(kPa),    pRo(kPa),  hRi(kJ/kg),  hRo(kJ/kg),         xRi,         xRo,      tAi(C),      tAo(C),        rhAi,        rhAo, hci(kW/m2K), hco(kW/m2K),   mu(uPa-s),     k(W/mK),  cp(kJ/kgK),  rho(kg/m3),       ReVap,       ReLiq,  QmodTot(W), QmodSens(W),  QmodLat(W),  MassLiq(g),  MassVap(g),     Mass(g),      DryWet,mdotR(kg/hr), mdotA(kg/s),
  1,  1,  1,     7.655,     7.262,   634.276,   626.749,   231.744,   397.776,     0.114,     0.950,    24.683,    11.816,     0.224,     0.504,     3.851,     0.068,     0.000,     0.000,     0.000,   114.840, 31992.301,  1292.021,  -593.905,  -593.905,     0.000,    31.332,     3.524,    34.855,     3.000,    12.877,     0.046,
  1,  1,  2,     7.262,    14.766,   626.749,   626.066,   397.776,   413.377,     0.950,     1.000,    24.683,    20.547,     0.224,     0.288,     0.230,     0.068,     6.084,     0.005,     0.379,    26.683, 60156.922,     0.000,   -19.090,   -19.090,     0.000,     8.616,     0.306,     8.922,     3.000,    12.877,     0.005,
  1,  1,  3,    14.766,    18.896,   626.066,   625.368,   413.377,   416.511,     1.000,     1.000,    24.683,    22.255,     0.224,     0.259,     0.230,     0.068,    12.261,     0.010,     0.756,    25.191, 60165.316,     0.000,   -11.209,   -11.209,     0.000,     0.000,     0.416,     0.416,     3.000,    12.877,     0.005,
  1,  1,  4,    18.896,    21.310,   625.368,   624.660,   416.511,   418.339,     1.000,     1.000,    24.683,    23.266,     0.224,     0.244,     0.230,     0.068,    12.408,     0.011,     0.752,    24.744, 60173.867,     0.000,    -6.541,    -6.541,     0.000,     0.000,     0.416,     0.416,     3.000,    12.877,     0.005,
  1,  1,  5,    21.310,    22.714,   624.660,   623.946,   418.339,   419.405,     1.000,     1.000,    24.683,    23.858,     0.224,     0.235,     0.230,     0.068,    12.494,     0.011,     0.750,    24.480, 60182.512,     0.000,    -3.811,    -3.811,     0.000,     0.000,     0.415,     0.415,     3.000,    12.877,     0.005,
  1,  1,  6,    22.714,    23.528,   623.946,   623.229,   419.405,   420.027,     1.000,     1.000,    24.683,    24.201,     0.224,     0.230,     0.230,     0.068,    12.544,     0.011,     0.749,    24.317, 60191.223,     0.000,    -2.225,    -2.225,     0.000,     0.000,     0.415,     0.415,     3.000,    12.877,     0.005,
  1,  1,  7,    23.528,    23.998,   623.229,   622.508,   420.027,   420.392,     1.000,     1.000,    24.683,    24.401,     0.224,     0.227,     0.230,     0.068,    12.572,     0.011,     0.748,    24.210, 60199.977,     0.000,    -1.306,    -1.306,     0.000,     0.000,     0.414,     0.414,     3.000,    12.877,     0.005,
  1,  1,  8,    23.998,    24.271,   622.508,   621.786,   420.392,   420.608,     1.000,     1.000,    24.683,    24.516,     0.224,     0.226,     0.229,     0.068,    12.589,     0.011,     0.748,    24.136, 60208.754,     0.000,    -0.774,    -0.774,     0.000,     0.000,     0.414,     0.414,     3.000,    12.877,     0.005,
  1,  1,  9,    24.271,    24.428,   621.786,   621.063,   420.608,   420.738,     1.000,     1.000,    24.683,    24.582,     0.224,     0.225,     0.229,     0.068,    12.599,     0.011,     0.748,    24.080, 60217.559,     0.000,    -0.466,    -0.466,     0.000,     0.000,     0.413,     0.413,     3.000,    12.877,     0.005,
  1,  1, 10,    24.428,    24.519,   621.063,   620.338,   420.738,   420.819,     1.000,     1.000,    24.683,    24.621,     0.224,     0.224,     0.229,     0.068,    12.604,     0.011,     0.747,    24.034, 60226.383,     0.000,    -0.288,    -0.288,     0.000,     0.000,     0.441,     0.441,     3.000,    12.877,     0.005,
  1,  2,  1,    10.030,    10.029,   681.579,   681.547,   239.728,   241.069,     0.141,     0.148,    16.553,    14.213,     0.373,     0.433,     2.775,     0.066,     0.000,     0.000,     0.000,   175.229,  9471.283,  3334.959,    -5.268,    -5.268,     0.000,     1.230,     0.047,     1.277,     3.000,    12.877,     0.002,
  1,  2,  2,    10.029,    10.027,   681.547,   681.515,   241.069,   242.418,     0.148,     0.155,    16.569,    14.213,     0.373,     0.433,     2.840,     0.066,     0.000,     0.000,     0.000,   168.378,  9919.010,  3307.548,    -5.303,    -5.303,     0.000,     1.204,     0.048,     1.252,     3.000,    12.877,     0.002,
  1,  2,  3,    10.027,    10.025,   681.515,   681.481,   242.418,   243.778,     0.155,     0.162,    16.594,    14.219,     0.372,     0.433,     2.903,     0.066,     0.000,     0.000,     0.000,   161.998, 10369.987,  3279.939,    -5.344,    -5.344,     0.000,     1.178,     0.048,     1.227,     3.000,    12.877,     0.002,
  1,  2,  4,    10.025,    10.024,   681.481,   681.445,   243.778,   245.152,     0.162,     0.169,    16.633,    14.235,     0.371,     0.432,     2.965,     0.066,     0.000,     0.000,     0.000,   156.033, 10824.951,  3252.084,    -5.396,    -5.396,     0.000,     1.154,     0.049,     1.203,     3.000,    12.877,     0.002,
  1,  2,  5,    10.024,    10.022,   681.445,   681.409,   245.152,   246.545,     0.169,     0.176,    16.704,    14.272,     0.370,     0.431,     3.027,     0.066,     0.000,     0.000,     0.000,   150.427, 11285.447,  3223.893,    -5.474,    -5.474,     0.000,     1.130,     0.049,     1.180,     3.000,    12.877,     0.002,
  1,  2,  6,    10.022,    10.020,   681.409,   681.370,   246.545,   247.976,     0.176,     0.183,    16.861,    14.363,     0.366,     0.429,     3.088,     0.066,     0.000,     0.000,     0.000,   145.105, 11755.538,  3195.114,    -5.623,    -5.623,     0.000,     1.107,     0.050,     1.157,     3.000,    12.877,     0.002,
  1,  2,  7,    10.020,    10.018,   681.370,   681.330,   247.976,   249.484,     0.183,     0.191,    17.207,    14.573,     0.360,     0.425,     3.150,     0.066,     0.000,     0.000,     0.000,   139.953, 12244.814,  3165.158,    -5.928,    -5.928,     0.000,     1.084,     0.050,     1.135,     3.000,    12.877,     0.002,
  1,  2,  8,    10.018,    10.016,   681.330,   681.288,   249.484,   250.944,     0.191,     0.199,    16.952,    14.403,     0.364,     0.428,     3.210,     0.066,     0.000,     0.000,     0.000,   135.102, 12738.944,  3134.908,    -5.735,    -5.735,     0.000,     1.062,     0.051,     1.113,     3.000,    12.877,     0.002,
  1,  2,  9,    10.016,    10.014,   681.288,   681.244,   250.944,   252.408,     0.199,     0.206,    16.954,    14.397,     0.364,     0.429,     3.269,     0.066,     0.000,     0.000,     0.000,   130.642, 13225.780,  3105.104,    -5.755,    -5.755,     0.000,     1.041,     0.051,     1.092,     3.000,    12.877,     0.002,
  1,  2, 10,    10.014,    10.009,   681.244,   681.144,   252.408,   253.913,     0.206,     0.214,    17.124,    14.496,     0.361,     0.427,     3.326,     0.066,     0.000,     0.000,     0.000,   126.398, 13720.653,  3074.767,    -5.913,    -5.913,     0.000,     1.435,     0.073,     1.508,     3.000,    12.877,     0.002,
  1,  3,  1,    10.009,    10.007,   681.144,   681.098,   253.913,   255.178,     0.214,     0.220,    15.973,    13.765,     0.383,     0.442,     3.379,     0.066,     0.000,     0.000,     0.000,   122.667, 14182.482,  3046.453,    -4.971,    -4.971,     0.000,     1.002,     0.052,     1.054,     3.000,    12.877,     0.002,
  1,  3,  2,    10.007,    10.005,   681.098,   681.050,   255.178,   256.442,     0.220,     0.227,    15.952,    13.746,     0.384,     0.442,     3.426,     0.066,     0.000,     0.000,     0.000,   119.461, 14603.609,  3020.660,    -4.965,    -4.965,     0.000,     0.986,     0.053,     1.039,     3.000,    12.877,     0.002,
  1,  3,  3,    10.005,    10.002,   681.050,   681.000,   256.442,   257.706,     0.227,     0.233,    15.943,    13.735,     0.384,     0.442,     3.472,     0.066,     0.000,     0.000,     0.000,   116.419, 15024.696,  2994.870,    -4.969,    -4.969,     0.000,     0.970,     0.053,     1.023,     3.000,    12.877,     0.002,
  1,  3,  4,    10.002,    10.000,   681.000,   680.949,   257.706,   258.975,     0.233,     0.239,    15.952,    13.736,     0.384,     0.443,     3.517,     0.066,     0.000,     0.000,     0.000,   113.520, 15446.771,  2969.022,    -4.987,    -4.987,     0.000,     0.955,     0.053,     1.008,     3.000,    12.877,     0.002,
  1,  3,  5,    10.000,     9.997,   680.949,   680.896,   258.975,   260.257,     0.239,     0.246,    15.994,    13.757,     0.383,     0.442,     3.561,     0.066,     0.000,     0.000,     0.000,   110.744, 15871.652,  2942.997,    -5.034,    -5.034,     0.000,     0.940,     0.054,     0.994,     3.000,    12.877,     0.002,
  1,  3,  6,     9.997,     9.995,   680.896,   680.841,   260.257,   261.569,     0.246,     0.253,    16.125,    13.834,     0.380,     0.440,     3.605,     0.066,     0.000,     0.000,     0.000,   108.056, 16303.690,  2916.536,    -5.155,    -5.155,     0.000,     0.926,     0.054,     0.980,     3.000,    12.877,     0.002,
  1,  3,  7,     9.995,     9.992,   680.841,   680.784,   261.569,   262.952,     0.253,     0.260,    16.446,    14.030,     0.374,     0.437,     3.650,     0.066,     0.000,     0.000,     0.000,   105.398, 16752.820,  2889.028,    -5.438,    -5.438,     0.000,     0.911,     0.054,     0.965,     3.000,    12.877,     0.002,
  1,  3,  8,     9.992,     9.989,   680.784,   680.726,   262.952,   264.278,     0.260,     0.267,    16.163,    13.849,     0.380,     0.440,     3.694,     0.066,     0.000,     0.000,     0.000,   102.851, 17204.332,  2861.375,    -5.210,    -5.210,     0.000,     0.897,     0.055,     0.951,     3.000,    12.877,     0.002,
  1,  3,  9,     9.989,     9.986,   680.726,   680.666,   264.278,   265.602,     0.267,     0.273,    16.141,    13.830,     0.380,     0.441,     3.736,     0.066,     0.000,     0.000,     0.000,   100.477, 17645.846,  2834.333,    -5.201,    -5.201,     0.000,     0.883,     0.055,     0.938,     3.000,    12.877,     0.002,
  1,  3, 10,     9.986,     9.979,   680.666,   680.535,   265.602,   266.959,     0.273,     0.280,    16.285,    13.915,     0.378,     0.439,     3.778,     0.066,     0.000,     0.000,     0.000,    98.176, 18093.318,  2806.882,    -5.334,    -5.334,     0.000,     1.222,     0.078,     1.300,     3.000,    12.877,     0.002,
  1,  4,  1,     9.979,     9.976,   680.535,   680.472,   266.959,   268.170,     0.280,     0.286,    15.588,    13.475,     0.393,     0.450,     3.818,     0.066,     0.000,     0.000,     0.000,    96.064, 18521.994,  2780.578,    -4.755,    -4.755,     0.000,     0.857,     0.056,     0.913,     3.000,    12.877,     0.002,
  1,  4,  2,     9.976,     9.973,   680.472,   680.407,   268.170,   269.383,     0.286,     0.293,    15.591,    13.473,     0.393,     0.450,     3.854,     0.066,     0.000,     0.000,     0.000,    94.160, 18926.010,  2755.828,    -4.767,    -4.767,     0.000,     0.845,     0.056,     0.901,     3.000,    12.877,     0.002,
  1,  4,  3,     9.973,     9.970,   680.407,   680.340,   269.383,   270.599,     0.293,     0.299,    15.597,    13.473,     0.393,     0.450,     3.890,     0.066,     0.000,     0.000,     0.000,    92.325, 19331.086,  2731.013,    -4.780,    -4.780,     0.000,     0.834,     0.056,     0.890,     3.000,    12.877,     0.002,
  1,  4,  4,     9.970,     9.966,   680.340,   680.272,   270.599,   271.820,     0.299,     0.305,    15.604,    13.474,     0.392,     0.450,     3.925,     0.066,     0.000,     0.000,     0.000,    90.555, 19737.385,  2706.124,    -4.795,    -4.795,     0.000,     0.823,     0.056,     0.880,     3.000,    12.877,     0.002,
  1,  4,  5,     9.966,     9.963,   680.272,   680.202,   271.820,   273.044,     0.305,     0.311,    15.614,    13.476,     0.392,     0.450,     3.959,     0.066,     0.000,     0.000,     0.000,    88.845, 20145.035,  2681.153,    -4.811,    -4.811,     0.000,     0.812,     0.057,     0.869,     3.000,    12.877,     0.002,
  1,  4,  6,     9.963,     9.959,   680.202,   680.130,   273.044,   274.273,     0.311,     0.317,    15.624,    13.479,     0.392,     0.450,     3.993,     0.066,     0.000,     0.000,     0.000,    87.192, 20554.135,  2656.094,    -4.829,    -4.829,     0.000,     0.802,     0.057,     0.859,     3.000,    12.877,     0.002,
  1,  4,  7,     9.959,     9.956,   680.130,   680.056,   274.273,   275.506,     0.317,     0.324,    15.637,    13.483,     0.392,     0.450,     4.027,     0.066,     0.000,     0.000,     0.000,    85.593, 20964.816,  2630.939,    -4.848,    -4.848,     0.000,     0.792,     0.057,     0.849,     3.000,    12.877,     0.002,
  1,  4,  8,     9.956,     9.952,   680.056,   679.981,   275.506,   276.745,     0.324,     0.330,    15.652,    13.489,     0.391,     0.450,     4.060,     0.066,     0.000,     0.000,     0.000,    84.045, 21377.188,  2605.682,    -4.868,    -4.868,     0.000,     0.781,     0.057,     0.839,     3.000,    12.877,     0.002,
  1,  4,  9,     9.952,     9.948,   679.981,   679.904,   276.745,   277.990,     0.330,     0.336,    15.669,    13.496,     0.391,     0.449,     4.092,     0.066,     0.000,     0.000,     0.000,    82.545, 21791.445,  2580.310,    -4.891,    -4.891,     0.000,     0.771,     0.057,     0.829,     3.000,    12.877,     0.002,
  1,  4, 10,     9.948,     9.940,   679.904,   679.741,   277.990,   279.241,     0.336,     0.343,    15.689,    13.505,     0.390,     0.449,     4.124,     0.066,     0.000,     0.000,     0.000,    81.083, 22208.586,  2554.716,    -4.917,    -4.917,     0.000,     1.071,     0.081,     1.152,     3.000,    12.877,     0.002,
  1,  5,  1,     9.940,     9.936,   679.741,   679.660,   279.241,   280.608,     0.343,     0.350,    16.205,    13.818,     0.380,     0.442,     4.157,     0.066,     0.000,     0.000,     0.000,    79.605, 22646.049,  2527.884,    -5.371,    -5.371,     0.000,     0.751,     0.058,     0.809,     3.000,    12.877,     0.002,
  1,  5,  2,     9.936,     9.932,   679.660,   679.577,   280.608,   281.945,     0.350,     0.357,    16.060,    13.725,     0.382,     0.444,     4.190,     0.066,     0.000,     0.000,     0.000,    78.139, 23097.068,  2500.275,    -5.255,    -5.255,     0.000,     0.741,     0.058,     0.799,     3.000,    12.877,     0.002,
  1,  5,  3,     9.932,     9.927,   679.577,   679.491,   281.945,   283.292,     0.357,     0.363,    16.090,    13.740,     0.382,     0.443,     4.222,     0.066,     0.000,     0.000,     0.000,    76.737, 23544.686,  2472.874,    -5.289,    -5.289,     0.000,     0.731,     0.058,     0.790,     3.000,    12.877,     0.002,
  1,  5,  4,     9.927,     9.923,   679.491,   679.404,   283.292,   284.706,     0.363,     0.371,    16.393,    13.923,     0.376,     0.440,     4.255,     0.066,     0.000,     0.000,     0.000,    75.346, 24005.184,  2444.687,    -5.559,    -5.559,     0.000,     0.721,     0.059,     0.780,     3.000,    12.877,     0.002,
  1,  5,  5,     9.923,     9.918,   679.404,   679.314,   284.706,   286.063,     0.371,     0.378,    16.120,    13.751,     0.381,     0.443,     4.286,     0.066,     0.000,     0.000,     0.000,    73.997, 24467.568,  2416.389,    -5.332,    -5.332,     0.000,     0.712,     0.059,     0.770,     3.000,    12.877,     0.002,
  1,  5,  6,     9.918,     9.914,   679.314,   679.222,   286.063,   287.423,     0.378,     0.385,    16.121,    13.747,     0.381,     0.443,     4.316,     0.066,     0.000,     0.000,     0.000,    72.721, 24920.762,  2388.652,    -5.341,    -5.341,     0.000,     0.702,     0.059,     0.761,     3.000,    12.877,     0.002,
  1,  5,  7,     9.914,     9.909,   679.222,   679.128,   287.423,   288.844,     0.385,     0.392,    16.395,    13.913,     0.375,     0.440,     4.347,     0.066,     0.000,     0.000,     0.000,    71.460, 25384.746,  2360.258,    -5.587,    -5.587,     0.000,     0.693,     0.059,     0.752,     3.000,    12.877,     0.002,
  1,  5,  8,     9.909,     9.904,   679.128,   679.032,   288.844,   290.203,     0.392,     0.399,    16.099,    13.727,     0.381,     0.444,     4.376,     0.066,     0.000,     0.000,     0.000,    70.240, 25848.721,  2331.870,    -5.340,    -5.340,     0.000,     0.684,     0.059,     0.743,     3.000,    12.877,     0.002,
  1,  5,  9,     9.904,     9.900,   679.032,   678.934,   290.203,   291.559,     0.399,     0.406,    16.074,    13.708,     0.382,     0.444,     4.404,     0.066,     0.000,     0.000,     0.000,    69.089, 26301.719,  2304.151,    -5.326,    -5.326,     0.000,     0.675,     0.060,     0.734,     3.000,    12.877,     0.002,
  1,  5, 10,     9.900,     9.890,   678.934,   678.735,   291.559,   292.949,     0.406,     0.413,    16.223,    13.795,     0.379,     0.443,     4.432,     0.066,     0.000,     0.000,     0.000,    67.955, 26760.893,  2276.012,    -5.463,    -5.463,     0.000,     0.937,     0.084,     1.021,     3.000,    12.877,     0.002,
  1,  6,  1,     9.890,     9.884,   678.735,   678.633,   292.949,   294.336,     0.413,     0.420,    16.194,    13.773,     0.380,     0.443,     4.459,     0.066,     0.000,     0.000,     0.000,    66.844, 27225.385,  2247.552,    -5.451,    -5.451,     0.000,     0.657,     0.060,     0.717,     3.000,    12.877,     0.002,
  1,  6,  2,     9.884,     9.879,   678.633,   678.528,   294.336,   295.694,     0.420,     0.427,    16.049,    13.679,     0.383,     0.445,     4.486,     0.066,     0.000,     0.000,     0.000,    65.788, 27683.482,  2219.532,    -5.333,    -5.333,     0.000,     0.649,     0.060,     0.709,     3.000,    12.877,     0.002,
  1,  6,  3,     9.879,     9.874,   678.528,   678.422,   295.694,   297.059,     0.427,     0.434,    16.078,    13.694,     0.382,     0.445,     4.511,     0.066,     0.000,     0.000,     0.000,    64.771, 28138.006,  2191.732,    -5.366,    -5.366,     0.000,     0.641,     0.060,     0.701,     3.000,    12.877,     0.002,
  1,  6,  4,     9.874,     9.868,   678.422,   678.312,   297.059,   298.493,     0.434,     0.441,    16.380,    13.876,     0.376,     0.441,     4.536,     0.066,     0.000,     0.000,     0.000,    63.758, 28605.393,  2163.152,    -5.636,    -5.636,     0.000,     0.633,     0.061,     0.693,     3.000,    12.877,     0.002,
  1,  6,  5,     9.868,     9.863,   678.312,   678.201,   298.493,   299.869,     0.441,     0.448,    16.106,    13.704,     0.381,     0.444,     4.561,     0.066,     0.000,     0.000,     0.000,    62.772, 29074.564,  2134.464,    -5.407,    -5.407,     0.000,     0.625,     0.061,     0.685,     3.000,    12.877,     0.002,
