        Nckt,       Ntube,        Nmod,      tRi(C),      tRo(C),    pRi(kPa),    pRo(kPa),  hRi(kJ/kg),  hRo(kJ/kg),         xRi,         xRo,      tAi(C),      tAo(C),        rhAi,        rhAo,  hci(W/m2K),          EF,  hco(W/m2K),   mu(uPa-s),     k(W/mK),  cp(kJ/kgK),  rho(kg/m3),       ReVap,       ReLiq,     Qmod(W),  MassLiq(g),  MassVap(g),  MassTot(g),  mdot(kg/h),
  1,  1,  1,    60.621,    25.917,  1072.134,  1069.088,   441.974,   413.285,     1.000,     1.000,    21.167,    25.376,     0.723,     0.561,   269.267,     1.000,    66.943,    13.513,     0.012,     0.840,    41.522, 59475.555,     0.000,   109.055,     0.000,     2.676,     2.676,    13.684,
  1,  1,  2,    25.917,    25.174,  1069.088,  1049.112,   413.285,   235.945,     1.000,     0.030,    21.167,    24.739,     0.723,     0.582, 10032.745,     6.848,    66.943,     6.366,     0.006,     0.439,   359.272, 30561.516,  2206.831,   672.430,    87.427,    15.917,   103.344,    13.684,
  1,  1,  3,    25.174,    21.193,  1049.112,  1046.020,   235.945,   225.542,     0.030,     0.000,    21.167,    21.278,     0.723,     0.718,   334.391,     1.000,    66.943,    86.663,     0.043,     0.620,   939.594,     0.000,  4566.751,    18.013,   359.202,     3.012,   362.213,    13.684,
  1,  1,  4,    21.193,    21.167,  1046.020,  1043.402,   225.542,   225.509,     0.000,     0.000,    21.167,    21.168,     0.723,     0.723,   334.292,     1.000,    66.943,   173.349,     0.085,     1.239,  1206.005,     0.000,  4561.546,     0.125,   369.007,     0.000,   369.007,    13.684,
  1,  1,  5,    21.167,    21.167,  1043.402,  1041.281,   225.509,   225.508,     0.000,     0.000,    21.167,    21.167,     0.723,     0.723,   334.209,     1.000,    66.943,   173.368,     0.085,     1.239,  1206.043,     0.000,  4557.235,     0.001,   299.030,     0.000,   299.030,    13.684,
  1,  1,  6,    21.167,    21.167,  1041.281,  1039.657,   225.508,   225.508,     0.000,     0.000,    21.167,    21.167,     0.723,     0.723,   334.144,     1.000,    66.943,   173.363,     0.085,     1.239,  1206.033,     0.000,  4553.833,     0.000,   228.997,     0.000,   228.997,    13.684,
  1,  1,  7,    21.167,    21.167,  1039.657,  1038.530,   225.508,   225.508,     0.000,     0.000,    21.167,    21.167,     0.723,     0.723,   334.096,     1.000,    66.943,   173.359,     0.085,     1.239,  1206.025,     0.000,  4551.338,     0.000,   158.921,     0.000,   158.921,    13.684,
  1,  1,  8,    21.167,    21.167,  1038.530,  1037.900,   225.508,   225.508,     0.000,     0.000,    21.167,    21.167,     0.723,     0.723,   334.066,     1.000,    66.943,   173.356,     0.085,     1.239,  1206.020,     0.000,  4549.747,     0.000,    88.812,     0.000,    88.812,    13.684,
  1,  1,  9,    21.167,    21.167,  1037.900,  1037.768,   225.508,   225.508,     0.000,     0.000,    21.167,    21.167,     0.723,     0.723,   334.052,     1.000,    66.943,   173.355,     0.085,     1.239,  1206.018,     0.000,  4549.057,     0.000,    18.684,     0.000,    18.684,    13.684,
  1,  1, 10,    60.621,    21.167,  1072.134,  1037.768,   441.974,   225.508,     1.000,     0.000,    21.167,    21.167,     0.723,     0.723,     0.000,     0.000,     0.000,    93.825,     0.049,     1.021,   621.872,     0.000,     0.000,     0.000,     0.000,     0.048,     0.048,    13.684,
  1,  2,  1,    43.180,    43.173,  1656.312,  1656.043,   358.156,   343.609,     0.640,     0.551,    21.355,    32.380,     0.715,     0.374,  9444.414,     6.838,    66.947,     0.000,     0.000,     0.000,   116.196, 33209.230,  2189.301,    55.920,     1.368,     0.326,     1.694,    13.684,
  1,  2,  2,    43.173,    43.167,  1656.043,  1655.814,   343.609,   329.191,     0.551,     0.462,    21.393,    32.322,     0.713,     0.375,  8636.588,     6.838,    66.948,     0.000,     0.000,     0.000,   134.310, 28252.551,  2696.182,    55.429,     1.563,     0.313,     1.877,    13.684,
  1,  2,  3,    43.167,    43.162,  1655.814,  1655.627,   329.191,   314.942,     0.462,     0.375,    21.439,    32.238,     0.711,     0.377,  7698.785,     6.838,    66.949,     0.000,     0.000,     0.000,   158.865, 23346.693,  3197.691,    54.774,     1.790,     0.299,     2.089,    13.684,
  1,  2,  4,    43.162,    43.158,  1655.627,  1655.478,   314.942,   300.928,     0.375,     0.289,    21.494,    32.116,     0.709,     0.380,  6642.710,     6.838,    66.950,     0.000,     0.000,     0.000,   193.901, 18509.857,  3692.052,    53.874,     2.065,     0.281,     2.346,    13.684,
  1,  2,  5,    43.158,    43.156,  1655.478,  1655.364,   300.928,   287.254,     0.289,     0.205,    21.561,    31.925,     0.706,     0.384,  5466.759,     6.838,    66.952,     0.000,     0.000,     0.000,   247.588, 13771.162,  4176.341,    52.568,     2.415,     0.258,     2.674,    13.684,
  1,  2,  6,    43.156,    43.153,  1655.364,  1655.277,   287.254,   274.126,     0.205,     0.124,    21.640,    31.590,     0.703,     0.391,  4157.211,     6.838,    66.954,     0.000,     0.000,     0.000,   338.933,  9184.525,  4645.072,    50.469,     2.893,     0.228,     3.120,    13.684,
  1,  2,  7,    43.153,    43.152,  1655.277,  1655.210,   274.126,   261.883,     0.124,     0.049,    21.734,    31.013,     0.699,     0.404,  2879.793,     6.838,    66.955,     0.000,     0.000,     0.000,   523.768,  4841.638,  5088.892,    47.065,     3.605,     0.182,     3.786,    13.684,
  1,  2,  8,    43.152,    41.711,  1655.210,  1655.169,   261.883,   251.912,     0.049,     0.000,    21.847,    29.404,     0.694,     0.443,   357.245,     1.000,    66.958,    68.370,     0.038,     0.675,   885.793,     0.000,  5699.493,    38.330,   -72.793,     5.055,   -67.738,    13.684,
  1,  2,  9,    41.711,    38.585,  1655.169,  1655.121,   251.912,   247.733,     0.000,     0.000,    21.981,    25.148,     0.689,     0.569,   357.244,     1.000,    66.961,   139.549,     0.077,     1.338,  1128.793,     0.000,  5699.414,    16.065,     6.421,     0.000,     6.421,    13.684,
  1,  2, 10,    38.585,    35.941,  1655.121,  1655.071,   247.733,   244.250,     0.000,     0.000,    22.140,    24.780,     0.683,     0.582,   357.242,     1.000,    66.964,   144.755,     0.078,     1.317,  1142.159,     0.000,  5699.328,    13.390,     7.605,     0.000,     7.605,    13.684,
  1,  3,  1,    35.941,    33.562,  1655.071,  1655.023,   244.250,   241.159,     0.000,     0.000,    21.347,    23.690,     0.715,     0.620,   357.241,     1.000,    66.947,   149.333,     0.080,     1.300,  1153.409,     0.000,  5699.241,    11.883,     6.422,     0.000,     6.422,    13.684,
