        Nckt,       Ntube,        Nmod,      tRi(C),      tRo(C),    pRi(kPa),    pRo(kPa),  hRi(kJ/kg),  hRo(kJ/kg),         xRi,         xRo,      tAi(C),      tAo(C),        rhAi,        rhAo, hci(kW/m2K), hco(kW/m2K),   mu(uPa-s),     k(W/mK),  cp(kJ/kgK),  rho(kg/m3),       ReVap,       ReLiq,  QmodTot(W), QmodSens(W),  QmodLat(W),  MassLiq(g),  MassVap(g),     Mass(g),      DryWet,mdotR(kg/hr), mdotA(kg/s),
  1,  1,  1,    10.611,    10.403,   693.756,   689.403,   231.614,   401.727,     0.097,     0.965,    25.443,    14.563,     0.226,     0.445,     2.549,     0.066,     0.000,     0.000,     0.000,   139.190, 25092.160,   954.232,  -484.977,  -484.977,     0.000,    35.784,     3.749,    39.532,     3.000,    10.263,     0.044,
  1,  1,  2,    10.403,    17.346,   689.403,   689.008,   401.727,   414.103,     0.965,     1.000,    25.443,    22.242,     0.226,     0.274,     0.195,     0.066,     6.144,     0.005,     0.386,    29.128, 47363.051,     0.000,   -14.267,   -14.267,     0.000,     9.220,     0.315,     9.535,     3.000,    10.263,     0.004,
  1,  1,  3,    17.346,    20.963,   689.008,   688.604,   414.103,   416.894,     1.000,     1.000,    25.443,    23.658,     0.226,     0.252,     0.195,     0.066,    12.370,     0.011,     0.770,    27.779, 47366.570,     0.000,    -7.957,    -7.957,     0.000,     0.000,     0.457,     0.457,     3.000,    10.263,     0.004,
  1,  1,  4,    20.963,    22.970,   688.604,   688.196,   416.894,   418.439,     1.000,     1.000,    25.443,    24.455,     0.226,     0.240,     0.195,     0.066,    12.496,     0.011,     0.766,    27.356, 47370.148,     0.000,    -4.403,    -4.403,     0.000,     0.000,     0.457,     0.457,     3.000,    10.263,     0.004,
  1,  1,  5,    22.970,    24.076,   688.196,   687.785,   418.439,   419.291,     1.000,     1.000,    25.443,    24.898,     0.226,     0.234,     0.195,     0.066,    12.566,     0.011,     0.764,    27.121, 47373.754,     0.000,    -2.430,    -2.430,     0.000,     0.000,     0.457,     0.457,     3.000,    10.263,     0.004,
  1,  1,  6,    24.076,    24.685,   687.785,   687.372,   419.291,   419.762,     1.000,     1.000,    25.443,    25.142,     0.226,     0.230,     0.195,     0.066,    12.605,     0.011,     0.763,    26.986, 47377.379,     0.000,    -1.343,    -1.343,     0.000,     0.000,     0.457,     0.457,     3.000,    10.263,     0.004,
  1,  1,  7,    24.685,    25.018,   687.372,   686.959,   419.762,   420.023,     1.000,     1.000,    25.443,    25.276,     0.226,     0.229,     0.195,     0.066,    12.626,     0.011,     0.762,    26.905, 47381.016,     0.000,    -0.745,    -0.745,     0.000,     0.000,     0.456,     0.456,     3.000,    10.263,     0.004,
  1,  1,  8,    25.018,    25.200,   686.959,   686.545,   420.023,   420.170,     1.000,     1.000,    25.443,    25.349,     0.226,     0.228,     0.195,     0.066,    12.638,     0.011,     0.762,    26.852, 47384.664,     0.000,    -0.418,    -0.418,     0.000,     0.000,     0.456,     0.456,     3.000,    10.263,     0.004,
  1,  1,  9,    25.200,    25.300,   686.545,   686.130,   420.170,   420.254,     1.000,     1.000,    25.443,    25.390,     0.226,     0.227,     0.195,     0.066,    12.644,     0.011,     0.761,    26.815, 47388.320,     0.000,    -0.238,    -0.238,     0.000,     0.000,     0.456,     0.456,     3.000,    10.263,     0.004,
  1,  1, 10,    25.300,    25.355,   686.130,   685.715,   420.254,   420.303,     1.000,     1.000,    25.443,    25.412,     0.226,     0.227,     0.195,     0.066,    12.647,     0.011,     0.761,    26.786, 47391.977,     0.000,    -0.140,    -0.140,     0.000,     0.000,     0.486,     0.486,     3.000,    10.263,     0.004,
  1,  2,  1,    10.034,    10.033,   681.665,   681.641,   250.419,   253.075,     0.196,     0.209,    19.813,    16.441,     0.323,     0.398,     2.233,     0.066,     0.000,     0.000,     0.000,   130.634,  9606.710,  2252.598,    -7.574,    -7.574,     0.000,     1.119,     0.050,     1.169,     3.000,    10.263,     0.002,
  1,  2,  2,    10.033,    10.032,   681.641,   681.615,   253.075,   255.800,     0.209,     0.223,    19.998,    16.539,     0.319,     0.396,     2.304,     0.066,     0.000,     0.000,     0.000,   123.171, 10256.016,  2212.893,    -7.768,    -7.768,     0.000,     1.082,     0.050,     1.132,     3.000,    10.263,     0.002,
  1,  2,  3,    10.032,    10.030,   681.615,   681.587,   255.800,   258.540,     0.223,     0.237,    19.994,    16.516,     0.320,     0.397,     2.372,     0.066,     0.000,     0.000,     0.000,   116.413, 10915.431,  2172.571,    -7.811,    -7.811,     0.000,     1.047,     0.051,     1.098,     3.000,    10.263,     0.002,
  1,  2,  4,    10.030,    10.029,   681.587,   681.557,   258.540,   261.290,     0.237,     0.251,    19.977,    16.486,     0.320,     0.398,     2.438,     0.066,     0.000,     0.000,     0.000,   110.330, 11577.970,  2132.059,    -7.841,    -7.841,     0.000,     1.013,     0.052,     1.065,     3.000,    10.263,     0.002,
  1,  2,  5,    10.029,    10.028,   681.557,   681.526,   261.290,   264.037,     0.251,     0.265,    19.917,    16.429,     0.321,     0.399,     2.501,     0.066,     0.000,     0.000,     0.000,   104.844, 12241.428,  2091.491,    -7.833,    -7.833,     0.000,     0.982,     0.053,     1.035,     3.000,    10.263,     0.002,
  1,  2,  6,    10.028,    10.026,   681.526,   681.492,   264.037,   266.725,     0.265,     0.279,    19.659,    16.246,     0.326,     0.403,     2.560,     0.066,     0.000,     0.000,     0.000,    99.928, 12897.407,  2051.378,    -7.663,    -7.663,     0.000,     0.953,     0.053,     1.006,     3.000,    10.263,     0.002,
  1,  2,  7,    10.026,    10.024,   681.492,   681.458,   266.725,   269.267,     0.279,     0.292,    19.100,    15.873,     0.336,     0.411,     2.615,     0.066,     0.000,     0.000,     0.000,    95.611, 13528.666,  2012.780,    -7.247,    -7.247,     0.000,     0.926,     0.054,     0.980,     3.000,    10.263,     0.002,
  1,  2,  8,    10.024,    10.023,   681.458,   681.421,   269.267,   271.713,     0.292,     0.304,    18.726,    15.620,     0.343,     0.418,     2.665,     0.066,     0.000,     0.000,     0.000,    91.828, 14130.724,  1975.963,    -6.973,    -6.973,     0.000,     0.902,     0.055,     0.957,     3.000,    10.263,     0.002,
  1,  2,  9,    10.023,    10.021,   681.421,   681.383,   271.713,   274.111,     0.304,     0.316,    18.525,    15.482,     0.348,     0.421,     2.711,     0.066,     0.000,     0.000,     0.000,    88.432, 14715.350,  1940.215,    -6.835,    -6.835,     0.000,     0.880,     0.055,     0.935,     3.000,    10.263,     0.002,
  1,  2, 10,    10.021,    10.017,   681.383,   681.304,   274.111,   276.483,     0.316,     0.328,    18.410,    15.398,     0.350,     0.423,     2.756,     0.066,     0.000,     0.000,     0.000,    85.321, 15291.371,  1904.976,    -6.763,    -6.763,     0.000,     1.207,     0.078,     1.285,     3.000,    10.263,     0.002,
  1,  3,  1,    10.017,    10.015,   681.304,   681.263,   276.483,   278.540,     0.328,     0.339,    17.274,    14.663,     0.372,     0.440,     2.795,     0.066,     0.000,     0.000,     0.000,    82.615, 15826.414,  1872.244,    -5.864,    -5.864,     0.000,     0.840,     0.056,     0.896,     3.000,    10.263,     0.002,
  1,  3,  2,    10.015,    10.013,   681.263,   681.220,   278.540,   280.593,     0.339,     0.349,    17.241,    14.635,     0.373,     0.440,     2.831,     0.066,     0.000,     0.000,     0.000,    80.261, 16322.511,  1841.907,    -5.851,    -5.851,     0.000,     0.823,     0.056,     0.880,     3.000,    10.263,     0.002,
  1,  3,  3,    10.013,    10.011,   681.220,   681.176,   280.593,   282.642,     0.349,     0.360,    17.213,    14.612,     0.374,     0.441,     2.865,     0.066,     0.000,     0.000,     0.000,    78.041, 16817.729,  1811.625,    -5.843,    -5.843,     0.000,     0.807,     0.057,     0.864,     3.000,    10.263,     0.002,
  1,  3,  4,    10.011,    10.009,   681.176,   681.131,   282.642,   284.690,     0.360,     0.370,    17.193,    14.593,     0.375,     0.442,     2.898,     0.066,     0.000,     0.000,     0.000,    75.942, 17312.463,  1781.373,    -5.839,    -5.839,     0.000,     0.791,     0.057,     0.849,     3.000,    10.263,     0.002,
  1,  3,  5,    10.009,    10.006,   681.131,   681.084,   284.690,   286.738,     0.370,     0.381,    17.178,    14.578,     0.375,     0.442,     2.930,     0.066,     0.000,     0.000,     0.000,    73.953, 17807.070,  1751.129,    -5.839,    -5.839,     0.000,     0.776,     0.057,     0.834,     3.000,    10.263,     0.002,
  1,  3,  6,    10.006,    10.004,   681.084,   681.035,   286.738,   288.787,     0.381,     0.391,    17.166,    14.565,     0.375,     0.443,     2.960,     0.066,     0.000,     0.000,     0.000,    72.065, 18301.797,  1720.880,    -5.841,    -5.841,     0.000,     0.762,     0.058,     0.819,     3.000,    10.263,     0.002,
  1,  3,  7,    10.004,    10.002,   681.035,   680.985,   288.787,   290.838,     0.391,     0.401,    17.157,    14.554,     0.376,     0.443,     2.990,     0.066,     0.000,     0.000,     0.000,    70.270, 18796.805,  1690.615,    -5.846,    -5.846,     0.000,     0.747,     0.058,     0.806,     3.000,    10.263,     0.002,
